team,w,l,seed
Gonzaga,26,0,1
Norfolk,17,7,16
Oklahoma,15,10,8
Missouri,16,9,9
Creighton,20,8,5
UCSB,22,4,12
Virginia,18,6,4
Ohio,16,7,13
USC,22,7,6
Drake,26,4,11
Kansas,20,8,3
EWash,16,7,14
Oregon,20,6,7
VCU,19,7,10
Iowa,21,8,2
GCU,17,6,15
Michigan,20,4,1
TexasS,17,8,16
LSU,18,9,8
Bonaventure,16,4,9
Colorado,22,8,5
Georgetown,13,12,12
FloridaSt,16,6,4
Grensboro,21,8,13
BYU,20,6,6
UCLA,18,9,11
Texas,19,7,3
Abilene,23,4,14
UConn,15,7,7
Maryland,16,13,10
Alabama,24,6,2
Iona,12,5,15
Baylor,22,2,1
Hartford,15,8,16
NC,18,10,8
Wisconsin,17,12,9
Villanova,16,6,5
Winthrop,23,1,12
Purdue,18,9,4
NTexas,17,9,13
TexasT,17,10,6
Utah,20,8,11
Arkansas,22,6,3
Colgate,14,1,14
Florida,14,9,7
VirginiaTech,15,6,10
OhioSt,21,9,2
Roberts,16,10,15
illinois,23,6,1
Drexel,12,7,16
Loyola,24,4,8
GeorgiaTech,17,8,9
Tennessee,18,8,5
OregonSt,17,12,12
OklahomaSt,20,8,4
Liberty,23,4,13
SanDiego,23,4,6
Syracuse,16,9,11
WVirginia,18,9,3
Morehead,23,7,14
Clemson,16,7,7
Rutgers,15,11,10
Houston,24,3,2
Cleveland,19,7,15